Scrape started on: 16:24:43
[STARTUP | Tue Jul  6 16:24:43 2021 | main_scrape.py | <module>]: Init Database
[INFO | Tue Jul  6 16:24:43 2021 | main_scrape.py | <module>]: Sequence Selected: sfrs
[STARTUP | Tue Jul  6 16:24:44 2021 | main_scrape.py | <module>]: Running Controlled Chome to get TokenFomo.io full list
[STARTUP | Tue Jul  6 16:24:48 2021 | main_scrape.py | <module>]: Selinum Scrape Done Closing
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: The Divine Order Of the Zodiac failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: Create Tokens @ TokenKickoff.com failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: Polycat failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: EnormousDoge failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: Radio Token failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: PolyNEWINU failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: Se7en failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: PolyGoldDoge failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: CRUN_V5 failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: POlyNEWINU failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: DaddyGoge failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: India Token failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: BABYKISHU INU failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: PolyRiseDOGE failed eth check
[LOG | Tue Jul  6 16:25:00 2021 | scrape/scrape_poc.py | parseFomo]: coin: Don-pool failed eth check
