Scrape started on: 01:17:41
[STARTUP | Thu Jul  1 01:17:41 2021 | main.py | <module>]: Init Database
[STARTUP | Thu Jul  1 01:17:42 2021 | main.py | <module>]: Running Controlled Chome to get TokenFomo.io full list
[STARTUP | Thu Jul  1 01:17:48 2021 | main.py | <module>]: Selinum Scrape Done Closing
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: TIGER Sanctuary Protocol Token failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Cryptovoxels Swapper v1 failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: KIGGAL failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: BUNE Protocol Secondary Token failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: BigMoon failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: NFT Public Profile failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: ICE CREAM Secondary Token failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: UFO Reloaded failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Peki Inu failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Flamingo DAO Secondary Token failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: ABC failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Rapidly Reuseable Rocket Inu failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: BabyHokkInu failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Hachi Inu failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: APESTAX failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: ELON MUSK Rapid Rocket failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: RRR failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: CoDo Inu failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Smiling Monkey failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: FlyGalaxyCoin failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: ABC failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Baby UFO failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: NOIR League Exclusive Token failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Floro Inu failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: SQIDCOIN failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: FACES failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Fuse-6 wstETH failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Rapidly Reusable UFO failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: PupShiba failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: CodexICOToken failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: APE STAX failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Rapidly Reusable Flokys failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Barry Swap failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Virtual Farm failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Floki In Rapidly Reusable Rockets failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: TerranNFT failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: NFTMart Token failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Angels of the ShemHamephorash failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: NessGraphics failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Rad NFT Collectibles TEST failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Tim Gagnon failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Gener8tive Tones failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: MarketPros Token failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: UnitedPunksUnion failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Rupaya failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: ETHEREUM RISE failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: It Is What It Is failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: ethereum failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: B your Bank failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Fintropy failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Uniswap V2 failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Rapidly Reusable Rockets failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Wrapped Ether failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Ape Food failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Ultimate Token failed eth check
[LOG | Thu Jul  1 01:17:59 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Kai Inu failed eth check
